什么	shen me
东躲西藏	dong duo xi cang
破镜重圆	po jing chong yuan
引吭高歌	yin hang gao ge
刚正不阿	gang zheng bu e
借尸还魂	jie shi huan hun
弹指之间	tan zhi zhi jian
重操旧业	chong cao jiu ye
言之凿凿	yan zhi zao zao
温情脉脉	wen qing mo mo
以眼还眼	yi yan huan yan
震天动地	zhen tian dong di
地坼天崩	di che tian beng
地角天涯	di jiao tian ya
攻城略地	gong cheng lve di
崛地而起	jue di er qi
哭天喊地	ku tian han di
掠地攻城	lve di gong cheng
人多地少	ren duo di shao
入地无门	ru di wu men
天摇地动	tian yao di dong
地广人稀	di guang ren xi
人杰地灵	ren jie di ling
塞翁失马	sai weng shi ma
没齿不忘	mo chi bu wang
地大物博	di da wu bo
歪打正着	wai da zheng zhao
敷衍塞责	fu yan se ze
朝三暮四	zhao san mu si
嘁嘁喳喳	qi qi cha cha
刨根问底	pao gen wen di
否极泰来	pi ji tai lai
欺行霸市	qi hang ba shi
坐地分赃	zuo di fen zang
地久天长	di jiu tian chang
刚直不阿	gang zhi bu e
天差地远	tian cha di yuan
好逸恶劳	hao yi wu lao
改天换地	gai tian huan di
朝秦暮楚	zhao qin mu chu
老调重弹	lao diao chong tan
战天斗地	zhan tian dou di
倒打一耙	dao da yi pa
画地为牢	hua di wei lao
一目十行	yi mu shi hang
赤地千里	chi di qian li
反躬自省	fan gong zi xing
家长里短	jia chang li duan
树碑立传	shu bei li zhuan
地灵人杰	di ling ren jie
故地重游	gu di chong you
教学相长	jiao xue xiang zhang
暖暖和和	nuan nuan huo huo
心宽体胖	xin kuan ben pan
琢磨不透	zuo mo bu tou
地覆天翻	di fu tian fan
天塌地陷	tian ta di xian
丢三落四	diu san la si
重起炉灶	chong qi lu zao
幕天席地	mu tian xi di
余勇可贾	yu yong ke gu
羽扇纶巾	yu shan guan jin
怨天怨地	yuan tian yuan di
不露锋芒	bu lu feng mang
遮天盖地	zhe tian gai di
朝令夕改	zhao ling xi gai
蜜里调油	mi li tiao you
心广体胖	xin guang ben pan
草长莺飞	cao zhang ying fei
朝发夕至	zhao fa xi zhi
度德量力	duo de liang li
数见不鲜	shuo jian bu xian
以己度人	yi ji duo ren
众口难调	zhong kou nan tiao
图穷匕见	tu qiong bi xian
灭此朝食	mie ci zhao shi
丢卒保车	diu zu bao ju
旧调重弹	jiu diao chong tan
潜滋暗长	qian zi an zhang
天悬地隔	tian xuan di ge
瑕瑜互见	xia yu hu jian
买椟还珠	mai du huan zhu
弹冠相庆	tan guan xiang qing
层见叠出	ceng xian die chu
舍车保帅	she ju bao shuai
朝闻夕死	zhao wen xi si
日月重光	ri yue chong guang
增长速度	zeng zhang su du
成倍增长	cheng bei zeng zhang
承受不了	cheng shou bu liao
此消彼长	ci xiao bi zhang
怎么得了	zen me de liao
日益增长	ri yi zeng zhang
同比增长	tong bi zeng zhang
暂行规定	zan xing gui ding
克罗地亚	ke luo di ya
副秘书长	fu mi shu zhang
个人行为	ge ren xing wei
两岸三地	liang an san di
大幅增长	da fu zeng zhang
塞尔维亚	sai er wei ya
塞浦路斯	sai pu lu si
副委员长	fu wei yuan zhang
稳步增长	wen bu zeng zhang
人口增长	ren kou zeng zhang
闭着眼睛	bi zhe yan jing
副董事长	fu dong shi zhang
危地马拉	wei di ma la
洪都拉斯	hong du la si
功不可没	gong bu ke mo
解决不了	jie jue bu liao
布鲁塞尔	bu lu sai er
受不了了	shou bu liao le
极不相称	ji bu xiang chen
增长缓慢	zeng zhang huan man
满足不了	man zu bu liao
月经不调	yue jing bu tiao
穿着打扮	chuan zhuo da ban
阿塞拜疆	a sai bai jiang
控制不了	kong zhi bu liao
塞内加尔	sai na jia er
我受不了	wo shou bu liao
地缘政治	di yuan zheng zhi
朝花夕拾	zhao hua xi shi
沉重打击	chen zhong da ji
地膜覆盖	di mo fu gai
总参谋长	zong can mou zhang
塞拉利昂	sai la li ang
掷地有声	zhi di you sheng
朝日新闻	zhao ri xin wen
还珠格格	huan zhu ge ge
太空行走	tai kong xing zou
加德满都	jia de man du
爱乐乐团	ai yue yue tuan
开不了口	kai bu liao kou
人行横道	ren xing heng dao
像模像样	xiang mu xiang yang
置之死地	zhi zhi si di
呱呱坠地	gu gu zhui di
真受不了	zhen shou bu liao
不得了了	bu de liao le
说得有理	shuo de you li
下不了手	xia bu liao shou
重归于好	chong gui yu hao
红着眼睛	hong zhe yan jing
藏传佛教	zang chuan fo jiao
单亲家庭	dan qin jia ting
经天纬地	jing tian wei di
小事化了	xiao shi hua liao
总免不了	zong mian bu liao
含而不露	han er bu lu
摆脱不了	bai tuo bu liao
忍受不了	ren shou bu liao
朝九晚五	zhao jiu wan wu
阴曹地府	yin cao di fu
天知地知	tian zhi di zhi
总忘不了	zong wang bu liao
重峦叠嶂	chong luan die zhang
地勤人员	di qin ren yuan
怕得要死	pa de yao si
睡不着觉	shui bu zhao jiao
感天动地	gan tian dong di
接受不了	jie shou bu liao
脱不了身	tuo bu liao shen
一死了之	yi si liao zhi
一笑了之	yi xiao liao zhi
这方面的	zhe fang mian de
主要还是	zhu yao hai shi
拾级而上	she ji er shang
人模狗样	ren mu gou yang
山摇地动	shan yao di dong
一语中的	yi yu zhong di
人事不省	ren shi bu xing
觉得有点	jue de you dian
显得有些	xian de you suo
显得有点	xian de you dian
改变不了	gai bian bu liao
觉得有些	jue de you suo
露了出来	lu le chu lai
很容易地	hen rong yi de
露在外面	lu zai wai mian
不知怎的	bu zhi zen di
不就得了	bu jiu de le
奈何不了	nai he bu liao
很遗憾地	hen yi han de
一语破的	yi yu po di
以珠弹雀	yi zhu tan que
掀天揭地	xian tian jie di
被天席地	bei tian xi di
有选择地	you xuan ze de
露出来了	lu chu lai le
扑地而倒	pu di er dao
做不了主	zuo bu liao zhu
显山露水	xian shan lu shui
阿布扎比	a bu zha bi
柏拉图式	bo la tu shi
经济增长	jing ji zeng zhang
利润增长	li run zeng zhang
怕得要命	pa de yao ming
不了了之	bu liao liao zhi
博闻强识	bo wen qiang zhi
三省吾身	san xing wu shen
随行就市	sui hang jiu shi
增长方式	zeng zhang fang shi
父债子还	fu zhai zi huan
自怜自艾	zi lian zi yi
朝过夕改	zhao guo xi gai
拱手而降	gong shou er xiang
箪食瓢饮	dan si piao yin
隐藏文件	yin cang wen jian
还刀入鞘	huan dao ru qiao
一个劲地	yi ge jin de
重出江湖	chong chu jiang hu
严重	yan zhong
堵塞	du se
都未	du wei
起重	qi zhong
超重	chao zhong
琢磨	zuo mo
长在	zhang zai
抽咽	chou ye
搀和	chan huo
拚搏	pan bo
掺杂	chan za
载重	zai zhong
荷重	he zhong
苍劲	cang jing
敬重	jing zhong
露出	lou chu
覆没	fu mo
校样	jiao yang
要挟	yao xie
雪茄	xue jia
轻重	qing zhong
贵重	gui zhong
喳喳	cha cha
呐喊	na han
中的	zhong di
喀嚓	ka cha
咖啡	ka fei
临了	lin liao
削减	xue jian
削弱	xue ruo
同行	tong hang
刚劲	gang jing
笨重	ben zhong
毛重	ma zhong
重型	zhong xing
重残	zhong can
重扣	zhong kou
重担	zhong dan
重托	zhong tuo
重要	zhong yao
重点	zhong dian
重量	zhong liang
重物	zhong wu
重氢	zhong qing
重任	zhong ren
重伤	zhong shang
重创	zhong chuang
重油	zhong you
重视	zhong shi
重心	zhong xin
重力	zhong li
看重	kan zhong
稳重	wen zhong
称意	chen yi
体重	ben zhong
保重	bao zhong
自重	zi zhong
自给	zi ji
傀儡	kui lei
化纤	hua xian
偏重	pian zhong
仔细	zi xi
彷徨	pang huang
很重	hen zhong
所长	suo zhang
爪牙	zhao ya
腰椎	yao zhui
胸椎	xiong zhui
乐段	yue duan
负重	fu zhong
比重	bi zhong
调温	tiao wen
谁也	shei ye
病重	bing zhong
庄重	zhuang zhong
闭塞	bi se
魔爪	mo zhao
慎重	shen zhong
并重	bing zhong
尊重	zun zhong
郑重	zheng zhong
粘膜	nian mo
粘滞	nian zhi
总长	zong zhang
着儿	zhao er
为重	wei zhong
惨重	can zhong
注重	zhu zhong
没收	mo shou
沉重	chen zhong
深重	shen zhong
浓重	nong zhong
完了	wan liao
过重	guo zhong
穿着	chuan zhuo
裨益	bi yi
退色	tui shai
劲旅	jing lv
对峙	dui zhi
加重	jia zhong
阻塞	zu se
附着	fu zhuo
隆重	long zhong
了望	liao wang
纤维	xian wei
出血	chu xie
布什	bu shi
朝晖	zhao hui
还帐	huan zhang
珍重	zhen zhong
省悟	xing wu
举重	ju zhong
国都	guo du
危重	wei zhong
桔子	jie zi
桔柑	jie gan
重用	zhong yong
重迭	zhong die
兹有	zi you
什锦	shi jin
伺机	si ji
你俩	ni lia
给与	ji yu
调协	tiao xie
谐调	xie tiao
必得	bi dei
东莞	dong wan
光纤	guang xian
梗塞	geng se
场长	chang zhang
掺假	chan jia
串行	chuan hang
劲敌	jing di
净重	cheng zhong
较重	jiao zhong
脊椎	ji zhui
系于	ji yu
舰长	jian zhang
喀什	ka shi
拚命	pan ming
器重	qi zhong
搪塞	tang se
谁知	shei zhi
栅栏	zha lan
颤栗	zhan li
重罚	zhong fa
重负	zhong fu
重奖	zhong jiang
重镇	zhong zhen
纤弱	xian ruo
削平	xue ping
藏历	zang li
兹将	zi jiang
拌和	ban huo
蔽塞	bi se
堡子	bu zi
重犯	zhong fan
持重	chi zhong
重载	zhong zai
承重	cheng zhong
次长	ci zhang
吃重	chi zhong
粗重	cu zhong
帝都	di du
大黄	dai huang
锻模	duan mu
堆砌	dui qi
掉色	diao shai
都统	du tong
黄柏	huang bo
花呢	hua ni
赫兹	he zi
故都	gu du
果脯	guo fu
呱呱	gu gu
裹挟	guo xie
工长	gong zhang
官长	guan zhang
经传	jing zhuan
角斗	jue dou
角力	jue li
桔树	jie shu
借重	jie zhong
卡具	qia ju
款识	kuan zhi
粘结	nian jie
粘土	nian tu
粘性	nian xing
粘液	nian ye
绿营	lu ying
凝重	ning zhong
呢子	ni zi
明朝	ming zhao
猛地	meng de
磨削	mo xue
牧畜	mu xu
民乐	min yue
糜子	mei zi
赔还	pei huan
耙犁	ba li
乞降	qi xiang
浅浅	jian jian
倾轧	qing ya
热和	re huo
色酒	shai jiu
唢呐	suo na
什物	shi wu
瘦削	shou xue
失重	shi zhong
调相	tiao xiang
吐血	tu xie
调资	tiao zi
推重	tui zhong
徒长	tu zhang
外传	wai zhuan
往还	wang huan
挟持	xie chi
挟带	xie dai
行东	hang dong
削发	xue fa
血块	xie kuai
纤毛	xian ma
纤巧	xian qiao
纤细	xian xi
纤小	xian xiao
血晕	xie yun
挟制	xie zhi
熨斗	yun dou
掩没	yan mo
乐声	yue sheng
拥塞	yong se
语塞	yu se
佯降	yang xiang
倚重	yi zhong
重病	zhong bing
重兵	zhong bing
柞绸	zuo chou
重活	zhong huo
椎骨	zhui gu
重剑	zhong jian
重利	zhong li
字模	zi mu
朝暮	zhao mu
铸模	zhu mu
藏青	zang qing
长上	zhang shang
吱声	zi sheng
重盐	zhong yan
重音	zhong yin
辎重	zi zhong
耙开	ba kai
半行	ban hang
的壳	di qiao
鼻血	bi xie
不称	bu chen
长皮	zhang pi
长芽	zhang ya
长牙	zhang ya
冲模	chong mu
抽血	chou xie
粗呢	cu ni
粗削	cu xue
弹虫	tan chong
弹盒	tan he
弹开	tan kai
弹去	tan qu
弹丝	tan si
等重	deng zhong
点着	dian zhao
调波	tiao bo
顶行	ding hang
固着	gu zhuo
夺还	duo huan
轻弹	qing tan
反角	fan jue
反诘	fan jie
放血	fang xie
非冯	fei ping
冯诺	ping nuo
付还	fu huan
蛤贝	ge bei
蛤肉	ge rou
给制	ji zhi
厚呢	hou ni
厚重	hou zhong
户长	hu zhang
还押	huan ya
还元	huan yuan
黄疸	huang dan
行图	hang tu
机长	ji zhang
极重	ji zhong
级长	ji zhang
削剪	xue jian
渐没	jian mo
藉口	jie kou
介壳	jie qiao
金阿	jin e
金了	jin liao
紧挟	jin xie
劲直	jing zhi
咀碎	ju sui
咯血	ka xie
开还	kai huan
壳菜	qiao cai
壳斗	qiao dou
窥伺	kui si
来阿	lai e
捞蛤	lao ge
勒死	lei si
勒住	lei zhu
乐号	yue hao
利兹	li zi
行高	hang gao
零还	ling huan
炉栅	lu zha
络头	lao tou
满杓	man biao
锚爪	mao zhao
没药	mo yao
木栅	mu zha
内省	na xing
校直	jiao zhi
皮重	pi zhong
频数	bin shuo
凭藉	ping jie
屏弃	bing qi
铺砌	pu qi
砌砖	qi zhuan
乾旱	gan han
乾枯	gan ku
乾酪	gan lao
乾癣	gan xuan
乾燥	gan sao
乾斋	gan zhai
乾皱	gan zhou
屈强	qu jiang
拳参	quan shen
塞音	se yin
晌觉	shang jiao
上爪	shang zhao
为长	wei zhang
手爪	shou zhao
首行	shou hang
枢椎	shu zhui
谁是	shei shi
死重	si zhong
摊还	tan huan
蹄爪	ti zhao
替角	ti jue
填塞	tian se
诘难	jie nan
跳弹	tao tan
铁栅	tie zha
艇长	ting zhang
统觉	tong jiao
痛恶	tong wu
脱壳	tuo qiao
网杓	wang biao
未熟	wei shou
吸血	xi xie
系带	ji dai
系紧	ji jin
系留	ji liu
系上	ji shang
系绳	ji sheng
削除	xue chu
削尖	xue jian
削去	xue qu
削整	xue zheng
削正	xue zheng
挟剪	xie jian
写行	xie hang
新行	xin hang
行号	hang hao
行选	hang xuan
序乐	xu yue
玄参	xuan shen
血图	xie tu
血像	xie xiang
咬嚼	yao jue
舀行	yao hang
一还	yi huan
有重	you zhong
匀行	yun hang
轧棉	ya mian
轧痛	ya tong
轧住	ya zhu
栅子	zha zi
粘附	nian fu
粘菌	nian jun
粘着	nian zhuo
指弹	zhi tan
坝没	ba mo
钟乐	zhong yue
重打	zhong da
重覆	zhong fu
重荷	zhong he
重货	zhong huo
重击	zhong ji
重踏	zhong ta
重土	zhong tu
重压	zhong ya
重于	zhong yu
重装	zhong zhuang
重罪	zhong zui
爪垫	zhao dian
爪哇	zhao wa
专差	zhuan chai
椎体	zhui ben
仔兽	zi shou
自省	zi xing
最了	zui liao
最重	zui zhong
柞蚕	zuo can
作轧	zuo ya
诘问	jie wen
荨麻	qian ma
莞熊	wan xiong
哽塞	geng se
噱头	xue tou
愀觉	qiao jiao
瑜伽	yu jia
杓鹞	biao yao
熨平	yun ping
长向	zhang xiang
幢幢	chuang chuang
鸿爪	hong zhao
鸡栅	ji zha
桔梗	jie geng
篱栅	li zha
俩人	lia ren
了局	liao ju
鳞爪	lin zhao
呢帽	ni mao
配重	pei zhong
砌缝	qi feng
清还	qing huan
手重	shou zhong
谁料	shei liao
睡熟	shui shou
铜臭	tong xiu
纤尘	xian chen
纤毫	xian hao
献血	xian xie
血泡	xie pao
言重	yan zhong
鹰爪	ying zhao
玉色	yu shai
轧花	ya hua
重办	zhong ban
重金	zhong jin
重赏	zhong shang
重听	zhong ting
重孝	zhong xiao
重在	zhong zai
柞绢	zuo juan
柞树	zuo shu
圩子	wei zi
圩垸	wei huan
芫花	yuan hua
黏着	nian zhuo
阿附	e fu
阿胶	e jiao
扒土	ba tu
白术	bai zhu
膀肿	pang zhong
陂陀	po tuo
吡啶	bi ding
吡咯	bi luo
辟易	bi yi
便便	pian pian
槟子	bin zi
采参	cai shen
参茶	shen cha
参错	cen cuo
参商	shen shang
苍术	cang zhu
侧歪	zhai wai
孱头	can tou
蝉壳	chan qiao
长草	zhang cao
长高	zhang gao
长瘤	zhang liu
长锈	zhang xiu
唱喏	chang re
绸缪	chou mou
枞阳	zong yang
嗒然	ta ran
弹球	tan qiu
叨光	tao guang
叨教	tao jiao
道藏	dao zang
的当	di dang
等衰	deng cui
调处	tiao chu
调摄	tiao nie
调唆	tiao suo
丁丁	zheng zheng
东都	dong du
垌冢	tong zhong
发噱	fa xue
梵呗	fan bai
佛戾	fu li
伽蓝	qie lan
圪蹴	ge jiu
圪塔	ge da
蛤蚧	ge jie
蛤蜊	ge li
枸橼	ju yuan
古刹	gu cha
骨殖	gu shi
柜柳	ju liu
寒伧	han chen
杭育	hang yo
貉绒	hao rong
貉子	hao zi
花着	hua zhao
黄陂	huang pi
荤粥	xun yu
豁拳	hua quan
讥弹	ji tan
降臣	xiang chen
降敌	xiang di
降顺	xiang shun
僬侥	jiao yao
蕉萃	qiao cui
湫隘	jiao ai
剿袭	chao xi
颉颃	xie hang
解池	xie chi
经幢	jing chuang
桔槔	jie gao
倥侗	kong tong
莨菪	lang dang
李悝	li kui
栎阳	yue yang
两宿	liang xiu
碌碡	liu zhou
率尔	shuai er
率军	shuai jun
率邻	shuai lin
率师	shuai shi
纶巾	guan jin
落色	lao shai
落子	lao zi
脉脉	mo mo
冒顿	mo du
没齿	mo chi
没世	mo shi
没膝	mo xi
没腰	mo yao
泌阳	bi yang
名刹	ming cha
牟平	mu ping
疟子	yao zi
派司	pa si
刨去	pao qu
屏除	bing chu
朴刀	po dao
千乘	qian sheng
前爪	qian zhao
强嘴	jiang zui
蝤蛑	you mou
莎草	suo cao
唼喋	sha zha
山查	shan zha
杉篙	sha gao
捎色	shao shai
省视	xing shi
盛菜	cheng cai
什一	shi yi
史乘	shi sheng
受禅	shou shan
税卡	shui qia
汤汤	shang shang
铁扒	tie ba
拓碑	ta bei
莞尔	wan er
婉娩	wan wan
委蛇	wei yi
尉犁	yu li
涡河	guo he
吴堡	wu bu
西都	xi du
歙县	she xian
铣铁	xian tie
虾蟆	ha ma
相率	xiang shuai
校雠	jiao chou
校改	jiao gai
莘县	shen xian
莘莘	shen shen
行帮	hang bang
行辈	hang bei
行几	hang ji
行宽	hang kuan
行款	hang kuan
行院	hang yuan
吟哦	yin e
引吭	yin hang
荥经	ying jing
于思	yu sai
於乎	wu hu
於菟	wu tu
吁求	yu qiu
怨艾	yuan yi
月氏	yue zhi
臧否	cang pi
轧帐	ya zhang
啁哳	zhao zha
折耗	she hao
怔忪	zheng zhong
中觉	zhong jiao
属望	zhu wang
属意	zhu yi
着人	zhuo ren
着着	zhao zhao
仔肩	zi jian
蔓儿	wan er
莱塞	lai se
驮子	duo zi
耙组	ba zu
有谁	you shei
增重	zeng zhong
进给	jin ji
洪都	hong du
削刮	xue gua
嚓嚓	cha cha
喔喔	wo wo
回弹	hui tan
米行	mi hang
撮子	zuo zi
行管	hang guan
得亏	dei kui
重入	zhong ru
长肥	zhang fei
重制	zhong zhi
他俩	ta lia
壅塞	yong se
谁能	shei nai
充塞	chong se
阿世	e shi
爱乐	ai yue
阿党	e dang
挨拶	ai zan
爱重	ai zhong
扒钉	ba ding
八宿	ba xiu
白血	bai xie
磅湛	pang zhan
薄壁	bao bi
薄到	bao dao
报还	bao huan
宝坻	bao chi
被谁	bei shei
比谁	bi shei
笔削	bi xue
贲临	bi lin
槟辉	bin hui
剥取	bao qu
波兹	bo zi
不调	bu tiao
裁度	cai duo
采血	cai xie
藏香	zang xiang
差兵	chai bing
掺兑	chan dui
昌都	chang du
长根	zhang gen
尘都	chen du
盛器	cheng qi
盛在	cheng zai
称愿	chen yuan
呈桔	cheng jie
重上	zhong shang
重教	zhong jiao
绸都	chou du
出圈	chu juan
褚老	chu lao
吹乐	chui yue
春都	chun du
瓷都	ci du
刺参	ci shen
从重	cong zhong
大城	dai cheng
单县	shan xian
到差	dao chai
道桔	dao jie
的情	di qing
德都	de du
的的	di di
都十	du shi
都灵	du ling
都安	du an
都昌	du chang
都兰	du lan
都邑	du yi
菲兹	fei zi
分重	fen zhong
丰都	feng du
寒颤	han zhan
好熟	hao shou
好薄	hao bao
鸿鹄	hong hu
花都	hua du
华都	hua du
珲春	hun chun
赶差	gan chai
钢都	gang du
哥俩	ge lia
关长	guan zhang
茄克	jia ke
鉴兹	jian zi
将乐	jiang yue
江都	jiang du
角儿	jue er
金都	jin du
锦鹄	jin hu
桔井	jie jing
咔嚓	ka cha
扛鼎	gang ding
靠谁	kao shei
来呢	lai ni
了以	liao yi
了业	liao ye
了平	liao ping
了一	liao yi
了关	liao guan
俩好	lia hao
连属	lian zhu
粮行	liang hang
了手	liao shou
了帐	liao zhang
列兹	lie zi
龙都	long du
铝都	lv du
滤咀	lv ju
捋捋	luo luo
罗兹	luo zi
镍都	nie du
宁都	ning du
农乐	nong yue
煤都	mei du
闵行	min hang
哦哦	e e
朴硝	po xiao
陪都	pei du
砌墙	qi qiang
起圈	qi juan
遒劲	qiu jing
任重	ren zhong
轧轧	ga ga
盐都	yan du
雁行	yan hang
要差	yao chai
药都	yao du
咽咽	ye ye
荫乾	yin gan
应的	ying di
影都	ying du
于都	yu du
禹都	yu du
乐工	yue gong
三都	san du
三谁	san shei
厦现	sha xian
商都	shang du
歙砚	she yan
身膀	shen pang
身桔	shen jie
什邡	shi fang
是谁	shi shei
手行	shou hang
谁讲	shei jiang
谁不	shei bu
绥棱	sui ling
太行	tai hang
太重	tai zhong
通什	tong shi
望都	wang du
巍峙	wei zhi
圩田	wei tian
温宿	wen xiu
文蛤	wen ge
乌什	wu shi
武都	wu du
厦航	sha hang
厦购	sha gou
瞎扒	xia ba
纤纤	xian xian
向谁	xiang shei
削壁	xue bi
小冯	xiao ping
削职	xue zhi
挟嫌	xie xian
携挟	xie xie
新都	xin du
新乐	xin yue
兴都	xing du
行唐	hang tang
行庆	hang qing
雄劲	xiong jing
圩历	wei li
柞丝	zuo si
长机	zhang ji
着棋	zhuo qi
朝旭	zhao xu
朝朝	zhao zhao
着风	zhao feng
真率	zhen shuai
中都	zhong du
中牟	zhong mu
重臣	zhong chen
重疾	zhong ji
重礼	zhong li
重身	zhong shen
重刑	zhong xing
重汽	zhong qi
重厚	zhong hou
竹都	zhu du
仔猪	zi zhu
兹尼	zi ni
兹基	zi ji
兹克	zi ke
卒中	cu zhong
耙松	ba song
插削	cha xue
衬砌	chen qi
的款	di kuan
调焦	tiao jiao
调零	tiao ling
锭模	ding mu
干重	gan zhong
和面	huo mian
和泥	huo ni
金桔	jin jie
劲风	jing feng
壳板	qiao ban
壳体	qiao ben
露光	lou guang
木模	mu mu
呢料	ni liao
砌体	qi ben
砌筑	qi zhu
全重	quan zhong
容重	rong zhong
沙参	sha shen
湿重	shi zhong
视重	shi zhong
睡着	shui zhao
铜模	tong mu
围栅	wei zha
西乐	xi yue
镶砌	xiang qi
行波	hang bo
行贩	hang fan
轧光	ya guang
轧路	ya lu
重焊	zhong han
重砌	zhong qi
重验	zhong yan
总重	zong zhong
足重	zu zhong
钻模	zuan mu
